No,KoreanName,EnglishName,KCD,VCode,Support,UnmatchedReason
1347,19번 염색체 단완의 결손 증후군,19p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1346,19번 염색체 장완의 중복 증후군,19q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1345,1번 염색체 단완 31-32 부분의 미세결손,1p31-1p32 microdeletion,없음,V901,의료비(급여부분),no_conservative_match
1344,1번 염색체 단완 36부분의 미세결손증후군,1p36 Microdeletion Syndrome,Q93.5,V900,의료비(급여부분),no_conservative_match
1343,1번 염색체 단완의 결손 증후군,1p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1342,1번 염색체 단완의 중복 증후군,1p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1341,1번 염색체 장완 21.1 부분의 중복 증후군,1q21.1 duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1340,1번 염색체 장완 21.3 부분의 미세결손 증후군,1q21.3 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1339,1번 염색체 장완 44부분의 미세결손 증후군,1q44 microdeletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1338,1번 염색체 장완의 21.1 부분의 미세결손 증후군,1q21.1 microdeletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1337,1번 염색체 장완의 결손 증후군,1q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1336,1번 염색체 장완의 중복 증후군,1q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1335,20번 염색체 단완의 결손 증후군,20p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1334,20번 염색체 단완의 삼염색체증,Trisomy 20p,Q92.8,V900,의료비(급여부분),no_conservative_match
1333,20번 염색체 장완의 결손 증후군,20q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1332,20번 염색체 장완의 말단부 삼염색체증,Distal trisomy 20q,없음,V901,의료비(급여부분),no_specialty_membership
1331,21-수산화효소결핍,21-Hydroxylase deficiency,E25.0,V115,의료비(급여부분),no_conservative_match
1330,21번 염색체 장완의 결손 증후군,21 long arm deletion syndrome,Q93.5,V900,의료비(급여부분),no_conservative_match
1329,21삼염색체증 NOS,Trisomy 21 NOS,Q90.9,V159,의료비(급여부분),no_conservative_match
1328,"21삼염색체증, 감수분열비분리","Trisomy 21, meiotic nondisjunction",Q90.0,V159,의료비(급여부분),no_conservative_match
1327,"21삼염색체증, 섞임증형(유사분열비분리)","Trisomy 21, mosaicism (mitotic nondisjunction)",Q90.1,V159,의료비(급여부분),no_conservative_match
1326,"21삼염색체증, 전위","Trisomy 21, translocation",Q90.2,V159,의료비(급여부분),no_conservative_match
1325,22번 염색체 장완의 결손 증후군,22q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1324,22번 염색체 장완의 중복 증후군,22q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1323,2번 염색체 단완 결손,2p deletion,없음,V901,의료비(급여부분),no_conservative_match
1322,2번 염색체 단완의 결손 증후군,2p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1321,2번 염색체 단완의 중복 증후군,2p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1320,2번 염색체 장완 33-37 부분의 중복 증후군,2q33-37 duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1319,2번 염색체 장완의 24 부분의 미세결손 증후군,2q24 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1318,2번 염색체 장완의 31-33 부분의 미세결손,2q31-q33 microdeletion,없음,V901,의료비(급여부분),no_conservative_match
1317,2번 염색체 장완의 37부분의 미세결손증후군,2q37 microdeletion syndrome,Q93.5,V900,의료비(급여부분),no_primary_specialty
1316,2번 염색체 장완의 결손 증후군,2q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1315,2번 염색체 장완의 중복 증후군,2q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1314,2장완11 미세중복 증후군,2q11 microduplication syndrome,없음,V900,의료비(급여부분),no_conservative_match
1313,3 장완29 미세결손 증후군,3q29 microdeletion syndrome,Q93.5,V900,의료비(급여부분),no_specialty_membership
1311,3MC 증후군,3MC syndrome (Malpuech-Michels-Mingarelli-Carnevale),없음,V900,의료비(급여부분),no_conservative_match
1310,3번 염색체 단완의 결손,Deletion of short arm of chromosome 3,없음,V901,의료비(급여부분),no_conservative_match
1309,3번 염색체 단완의 결손 증후군,3p deletion syndrome,없음,V901,의료비(급여부분),no_primary_specialty
1308,3번 염색체 장완 26 부분의 중복,3q26 duplication,없음,V901,의료비(급여부분),no_conservative_match
1307,3번 염색체 장완의 13.31 부분의 미세 결손 증후군,3q13.31 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1306,3번 염색체 장완의 결손,Deletion of long arm of chromosome 3,없음,V901,의료비(급여부분),no_conservative_match
1305,3번 염색체 장완의 결손 증후군,3q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1304,3번 염색체 장완의 중복 증후군,3q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1303,4 단완 염색체 부분 결손,Partial deletion of the short arm of chromosome 4,Q93.3,V900,의료비(급여부분),no_conservative_match
1302,4번 염색체 단완의 중복 증후군,4p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1301,4번 염색체 장완의 21 부분의 미세결손 증후군,4q21 microdeletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1300,4번 염색체 장완의 34 부분의 미세결손,4q34 microdeletion,없음,V901,의료비(급여부분),no_conservative_match
1299,4번 염색체 장완의 결손 증후군,4q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1298,4번 염색체 장완의 중복 증후군,4q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1297,5번 염색체 단완의 결손,Deletion of short arm of chromosome 5,Q93.4,V205,의료비(급여부분),no_conservative_match
1294,5번 염색체 장완 31.3 부분의 미세결손으로 인한 PURA 관련 신경발달 장애,PURA-related neurodevelopmental disorders due to 5q31.3 microdeletion,없음,V900,의료비(급여부분),no_conservative_match
1293,5번 염색체 장완 35 부분의 결손,5q35 deletion,없음,V901,의료비(급여부분),no_conservative_match
1292,5번 염색체 장완의 결손 증후군,5q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1291,5번 염색체 장완의 말단부 삼염색체증,Distal 5q trisomy,없음,V901,의료비(급여부분),no_conservative_match
1290,5번 염색체 장완의 중복 증후군,5q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1289,6번 염색체 단완의 결손 증후군,6p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1288,6번 염색체 장완 26 부분의 미세결손 증후군,6q26 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1287,6번 염색체 장완의 결손 증후군,6q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1286,6번 염색체 장완의 중복 증후군,6q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1285,7번 염색체 단완의 결손 증후군,7p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1284,7번 염색체 단완의 중복 증후군,7p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1283,7번 염색체 장완 11.23 부분의 미세중복 증후군,7q11.23 microduplication syndrome,Q92.3,V900,의료비(급여부분),no_specialty_membership
1282,7번 염색체 장완 36 부분의 미세결손 증후군,7q36 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1281,7번 염색체 장완의 결손 증후군,7q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1280,7번 염색체 장완의 중복 증후군,7q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1279,7장완11.22 미세결손 증후군,7q 11.22 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1278,7장완36 미세중복,7q 36 microduplication,없음,V901,의료비(급여부분),no_conservative_match
1277,8단완단일염색체증,8p monosomy,없음,V901,의료비(급여부분),no_conservative_match
1276,8번 삼염색체 섞임증,Mosaic trisomy 8,없음,V901,의료비(급여부분),no_conservative_match
1275,8번 염색체 단완의 11.2 부분의 미세결손 증후군,8p11.2 deletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1274,8번 염색체 단완의 결손 증후군,8p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1273,8번 염색체 단완의 역중복-결실 증후군,8p inverted duplication-deletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1272,8번 염색체 단완의 중복 증후군,8p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1270,8번 염색체 장완의 22.1 부분의 미세 결손 증후군,8q22.1 microdeletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1269,8번 염색체 장완의 중복 증후군,8q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1268,9번 염색체 단완의 결손,Deletion of short arm of chromosome 9,없음,V901,의료비(급여부분),no_conservative_match
1267,9번 염색체 단완의 결손 증후군,9p deletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1266,9번 염색체 단완의 사염색체증,tetrasomy 9p,없음,V901,의료비(급여부분),no_conservative_match
1265,9번 염색체 단완의 중복,Duplication of 9p,없음,V901,의료비(급여부분),no_conservative_match
1264,9번 염색체 단완의 중복 증후군,9p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1263,9번 염색체 장완의 결손 증후군,9q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1262,9번 염색체 장완의 중복 증후군,9q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1261,ACOX1 관련 장애,Acox1 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1260,AC글로불린결핍,AC globulin deficiency,D68.2,V009,의료비(급여부분),no_conservative_match
1259,ADCY5 관련 이상운동증,ADCY5-related dyskinesia,없음,V900,의료비(급여부분),no_conservative_match
1258,ADNP 증후군(헬스무르텔-반데르아 증후군),ADNP syndrome(Helsmoortel-VanDerAa Syndrome),Q87.8,V900,의료비(급여부분),no_conservative_match
1257,AGO1 관련 발달지연,AGO1 related developmental delay,없음,V900,의료비(급여부분),no_conservative_match
1256,ALS 결핍증,Acid-Labile subunit deficiency (ALSD),없음,V900,의료비(급여부분),no_conservative_match
1255,ARC 증후군,"Arthrogryposis, renal tubular dysfunction, and cholestasis (ARC syndrome)",없음,V900,의료비(급여부분),no_conservative_match
1254,ARHGEF9 관련 장애,ARHGEF9 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1253,ARX 관련 장애,ARX related disorder,없음,V900,의료비(급여부분),no_conservative_match
1252,ASH1L 관련 지적발달장애,ASH1L related intellectual developmental disorder,없음,V900,의료비(급여부분),no_conservative_match
1251,ASPM 관련 소두증,ASPM related microcephaly,없음,V900,의료비(급여부분),no_conservative_match
1250,ATP1A3 관련 뇌병증,ATP1A3-related encephalopathy,없음,V900,의료비(급여부분),no_conservative_match
1249,AUTS2 관련 장애,AUTS2 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1248,A형혈우병,Haemophilia A,D66,V009,의료비(급여부분),no_conservative_match
1247,B- 또는 T-세포에 대한 자가항체를 동반한 공통 가변성 면역결핍,Common variable immunodeficiency with autoantibodies to B-or T-cells,D83.2,V111,의료비(급여부분),no_conservative_match
1246,B-세포 수 및 기능의 현저한 이상에 의한 공통 가변성 면역결핍,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,D83.0,V111,의료비(급여부분),no_conservative_match
1245,B-세포수가 정상이거나 감소된 중증복합면역결핍,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,D81.2,V111,의료비(급여부분),no_conservative_match
1243,Bryant-Li-Bhoj 신경발달 증후군 1,Bryant-Li-Bhoj neurodevelopmental syndrome 1,없음,V900,의료비(급여부분),no_conservative_match
1242,B형혈우병,Haemophilia B,D67,V009,의료비(급여부분),no_conservative_match
1241,C1에스터레이스억제인자결핍,C1 esterase inhibitor[C1-INH] deficiency,D84.1,V111,의료비(급여부분),no_conservative_match
1240,CACNA1A 관련 장애,CACNA1A-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1239,CACNA1E 관련 장애,CACNA1E related disorder,없음,V900,의료비(급여부분),no_conservative_match
1238,CAD 관련 장애,CAD related disorder,없음,V900,의료비(급여부분),no_conservative_match
1237,CAMK2A 관련 질환,CAMK2A related disease,없음,V900,의료비(급여부분),no_conservative_match
1236,CASK 관련 장애,CASK-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1235,CDKL5-관련 장애,CDKL5-related disorder,G40.40,V900,의료비(급여부분),no_conservative_match
1234,COL4A1 관련 장애,Collagen alpha1(Ⅳ) chain related disorders,없음,V900,의료비(급여부분),no_conservative_match
1233,COL4A3BP 관련 정신 지체,COL4A3BP-related mental retardation,없음,V900,의료비(급여부분),no_conservative_match
1232,CTLA4 결핍,CTLA4 deficiency,없음,V900,의료비(급여부분),no_conservative_match
1231,CTNNB1 관련 장애,CTNNB1-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1230,CUL4B 관련 지적장애[카베자스형의 X염색체 연관 지적장애],"CUL4B related intellectual disability[X-linked intellectual disability, Cabezas type]",없음,V900,의료비(급여부분),no_conservative_match
1229,CUX1 유전자 변이,CUX1 gene mutation,없음,V900,의료비(급여부분),no_conservative_match
1228,CYFIP2 유전자 돌연변이,CYFIP2 gene mutation,없음,V900,의료비(급여부분),no_conservative_match
1227,Chitayat 증후군,Chitayat syndrome,없음,V900,의료비(급여부분),no_conservative_match
1226,C형혈우병,Haemophilia C,D68.1,V009,의료비(급여부분),no_conservative_match
1225,DDX3X 관련 장애,DDX3X-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1224,DDX6 관련 장애,DDX6 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1223,DEAF1 관련 장애,DEAF1 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1222,DHDDS 유전자 변이에 의한 운동 이상을 동반하거나 동반하지 않는 발달지연 및 발작,Developmental delay and seizures with or without movement abnormalities (DEDSM) due to DHDDS gene,없음,V900,의료비(급여부분),no_conservative_match
1221,DLL1 관련 질환,DLL1-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1219,DOCK8 유전자 변이 또는 결손,DOCK8 gene mutation or deletion,없음,V900,의료비(급여부분),no_conservative_match
1217,Den Hoed-de Boer-Voisin 증후군,Den Hoed-de Boer-Voisin syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1214,EEF1A2 관련 장애,EEF1A2-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1213,FBXO11 관련 장애,FBXO11-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1212,"FBXW7 관련 보통염색체 우성 발달지연, 근긴장저하 및 언어장애","FBXW7 related autosomal dominant developmental delay, hypotonia, and impaired language",없음,V900,의료비(급여부분),no_conservative_match
1211,FG2 증후군,FG2 syndrome,없음,V900,의료비(급여부분),no_conservative_match
1210,FLNA 관련 뇌실주위 결절성 이소증,FLNA-related periventricular nodular heterotopia,없음,V900,의료비(급여부분),no_conservative_match
1209,FOXP1 관련 장애,FOXP1 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1208,FTSJ1 관련 장애,FTSJ1 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1207,Foxp4 관련 발달 장애,Foxp4 related developmental disorder,없음,V900,의료비(급여부분),no_conservative_match
1206,G6PD결핍빈혈,G6PD deficiency anaemia,D55.0,V163,의료비(급여부분),no_conservative_match
1205,GABRB3 관련 장애,GABRB3 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1204,GATA2 결핍,GATA2 deficiency,없음,V900,의료비(급여부분),no_conservative_match
1203,GATAD2B와 연관된 신경발달장애,GATAD2B associated neurodevelopmental disorder[GAND],없음,V900,의료비(급여부분),no_conservative_match
1199,GM₂-강글리오시드증 NOS,GM₂gangliosidosis NOS,E75.0,V117,의료비(급여부분),no_conservative_match
1198,GM₃-강글리오시드증,GM₃-gangliosidosis,E75.1,V117,의료비(급여부분),no_conservative_match
1197,GNAO1 뇌병증,GNAO1 encephalopathy,없음,V900,의료비(급여부분),no_conservative_match
1196,GNB1 관련 장애,GNB1-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1195,GNB2 관련 장애,GNB2 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1194,GRIN1 관련 신경발달장애,GRIN1 related neurodevelopmental disorder,없음,V900,의료비(급여부분),no_conservative_match
1193,GRIN2A 관련 장애,GRIN2A related disorder,없음,V900,의료비(급여부분),no_conservative_match
1192,GRIN2B 관련 발달지연,GRIN2B related developmental delay,없음,V900,의료비(급여부분),no_conservative_match
1191,GRM7 관련 발달지연,GRM7 related developmental delay,없음,V900,의료비(급여부분),no_conservative_match
1190,HK1 관련 장애,HK1 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1189,HNF1B 유전자 돌연변이,HNF1B gene mutation,없음,V900,의료비(급여부분),no_conservative_match
1188,HNRNPU-관련 장애,HNRNPU-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1187,HUWE1 관련 장애,HUWE1 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1186,Hiatt-Neu-Copper 신경발달 증후군,Hiatt-Neu-Copper neurodevelopmental syndrome,없음,V900,의료비(급여부분),no_conservative_match
1185,Hijazi-Reis 증후군,Hijazi-Reis syndrome,없음,V900,의료비(급여부분),no_conservative_match
1184,Hoyeraal-Hreidarsson 증후군,Hoyeraal-Hreidarsson syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1183,IL12RB1 결핍,IL12RB1 deficiency,없음,V900,의료비(급여부분),no_conservative_match
1181,KAT6B 관련 증후군,KAT6B-related syndrome,없음,V900,의료비(급여부분),no_conservative_match
1180,KCNQ5 관련 지적 장애,KCNQ5 related intellectual disability,없음,V900,의료비(급여부분),no_conservative_match
1179,KID 증후군,KID syndrome (Keratitis-ichthyosis-deafness),없음,V900,의료비(급여부분),no_conservative_match
1174,LRBA 결핍,LRBA deficiency,없음,V900,의료비(급여부분),no_conservative_match
1173,Liang Wang 증후군,Liang Wang syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1172,MED13L 증후군,MED13L syndrome,없음,V900,의료비(급여부분),no_conservative_match
1170,MEIS2 관련 장애,MEIS2 related disorder,없음,V900,의료비(급여부분),no_conservative_match
1169,METTL23 관련 발달지연,METTL23 related developmental delay,없음,V900,의료비(급여부분),no_conservative_match
1167,MUTYH-연관 폴립증 (가족성 선종성 폴립증 2형),MUTYH-associated polyposis (Familial adenomatous polyposis type2),없음,V900,의료비(급여부분),no_conservative_match
1166,MYT1L 관련 장애,MYT1L related disorder,없음,V900,의료비(급여부분),no_conservative_match
1165,Mesomelia-synostoses 증후군(8번 염색체 장완의 13부분의 미세결손 증후군),Mesomelia-synostoses syndrome(8q13 microdeletion syndrome),없음,V900,의료비(급여부분),no_conservative_match
1164,NACC1 관련 장애,NACC1-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1163,NALCN 관련 장애,NALCN-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1162,NKAP 관련 장애,NKAP related disorder,없음,V900,의료비(급여부분),no_conservative_match
1161,NSUN2 관련 발달지연,NSUN2 related developmental delay,없음,V900,의료비(급여부분),no_conservative_match
1160,OPHN1 관련 장애,OPHN1-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1159,Opitz-G/BBB 증후군,Opitz-G/BBB syndrome,없음,V900,의료비(급여부분),no_primary_specialty
1158,Opitz-Kaveggia 증후군[FG 증후군 1형],Opitz-Kaveggia syndrome[FG syndrome type 1],없음,V900,의료비(급여부분),no_conservative_match
1156,PNKP 관련 발달지연,PNKP related developmental delay,없음,V900,의료비(급여부분),no_conservative_match
1155,"POLR2A 관련 장애(저긴장증, 다양한 지적장애, 행동이상을 동반한 신경발달장애)",POLR2A related disorder (Neurodevelopmental disorder with hypotonia and variable intellectual disability and behavioral abnormality),없음,V900,의료비(급여부분),no_conservative_match
1154,POLR3A 관련 장애,POLR3A related disorder,없음,V900,의료비(급여부분),no_conservative_match
1153,POU3F3 관련 장애 (Snijders Blok-Fisher 증후군),POU3F3-related disorder (Snijders Blok-Fisher syndrome),없음,V900,의료비(급여부분),no_conservative_match
1152,PPP2R5D 관련 장애,PPP2R5D-related disorder,없음,V900,의료비(급여부분),no_conservative_match
1151,PRR12 관련 신경-눈 증후군,PRR12 related neuro-ocular syndrome,없음,V900,의료비(급여부분),no_conservative_match
1150,PTEN 과오종 종양 증후군,PTEN Hamartoma Tumor Syndrome (PHTS),없음,V900,의료비(급여부분),no_conservative_match
